beat_index,time_sec
0,0.7573333333333333
1,1.184
2,1.6106666666666667
3,2.048
4,2.474666666666667
5,2.9013333333333335
6,3.328
7,3.7546666666666666
8,4.181333333333333
9,4.618666666666667
10,5.045333333333334
11,5.472
12,5.898666666666666
13,6.325333333333333
14,6.762666666666667
15,7.189333333333333
16,7.616
17,8.042666666666667
18,8.469333333333333
19,8.906666666666666
20,9.333333333333334
21,9.76
22,10.197333333333333
23,10.613333333333333
24,11.04
25,11.477333333333334
26,11.904
27,12.330666666666668
28,12.757333333333333
29,13.194666666666667
30,13.621333333333334
31,14.048
32,14.474666666666666
33,14.901333333333334
34,15.338666666666667
35,15.765333333333333
36,16.170666666666666
37,16.618666666666666
38,17.045333333333332
39,17.472
40,17.909333333333333
41,18.336
42,18.762666666666668
43,19.189333333333334
44,19.616
45,20.042666666666666
46,20.48
47,20.906666666666666
48,21.333333333333332
49,21.76
50,22.197333333333333
51,22.613333333333333
52,23.050666666666668
53,23.477333333333334
54,23.904
55,24.330666666666666
56,24.768
57,25.184
58,25.621333333333332
59,26.048
60,26.464
61,26.912
62,27.338666666666665
63,27.765333333333334
64,28.192
65,28.618666666666666
66,29.045333333333332
67,29.482666666666667
68,29.909333333333333
69,30.336
70,30.762666666666668
71,31.189333333333334
72,31.616
73,32.04266666666667
74,32.46933333333333
75,32.906666666666666
76,33.333333333333336
77,33.76
78,34.18666666666667
79,34.61333333333334
80,35.050666666666665
81,35.477333333333334
82,35.904
83,36.330666666666666
84,36.757333333333335
85,37.184
86,37.62133333333333
87,38.048
88,38.474666666666664
89,38.90133333333333
90,39.328
91,39.76533333333333
92,40.192
93,40.61866666666667
94,41.056
95,41.48266666666667
96,41.909333333333336
97,42.336
98,42.76266666666667
99,43.18933333333333
100,43.616
101,44.053333333333335
102,44.46933333333333
103,44.906666666666666
104,45.333333333333336
105,45.76
106,46.19733333333333
107,46.624
108,47.01866666666667
109,47.477333333333334
110,47.91466666666667
111,48.330666666666666
112,48.768
113,49.19466666666667
114,49.62133333333333
115,50.048
116,50.474666666666664
117,50.90133333333333
118,51.33866666666667
119,51.76533333333333
120,52.181333333333335
121,52.61866666666667
122,53.04533333333333
123,53.472
124,53.909333333333336
125,54.336
126,54.76266666666667
127,55.18933333333333
128,55.626666666666665
129,56.053333333333335
130,56.48
131,56.906666666666666
132,57.333333333333336
133,57.77066666666666
134,58.19733333333333
135,58.624
136,59.050666666666665
137,59.477333333333334
138,59.904
139,60.34133333333333
140,60.768
141,61.19466666666667
