beat_index,time_sec
0,5.205333333333333
1,5.706666666666667
2,6.218666666666667
3,6.656
4,7.210666666666667
5,7.658666666666667
6,8.138666666666667
7,8.64
8,9.205333333333334
9,9.706666666666667
10,10.208
11,10.72
12,11.210666666666667
13,11.712
14,12.202666666666667
15,12.704
16,13.216
17,13.717333333333332
18,14.229333333333333
19,14.72
20,15.210666666666667
21,15.669333333333332
22,16.213333333333335
23,16.714666666666666
24,17.216
25,17.717333333333332
26,18.208
27,18.709333333333333
28,19.21066666666667
29,19.701333333333334
30,20.213333333333335
31,20.714666666666666
32,21.216
33,21.674666666666667
34,22.218666666666667
35,22.709333333333333
36,23.21066666666667
37,23.722666666666665
38,24.213333333333335
39,24.72533333333333
40,25.216
41,25.717333333333332
42,26.218666666666667
43,26.72
44,27.21066666666667
45,27.712
46,28.192
47,28.714666666666666
48,29.216
49,29.717333333333332
50,30.218666666666667
51,30.666666666666668
52,31.221333333333334
53,31.712
54,32.21333333333333
55,32.714666666666666
56,33.22666666666667
57,33.717333333333336
58,34.218666666666664
59,34.67733333333333
60,35.2
61,35.65866666666667
62,36.202666666666666
63,36.693333333333335
64,37.216
65,37.717333333333336
66,38.218666666666664
67,38.70933333333333
68,39.21066666666667
69,39.690666666666665
70,40.21333333333333
71,40.714666666666666
72,41.216
73,41.67466666666667
74,42.218666666666664
75,42.70933333333333
76,43.157333333333334
77,43.68
78,44.17066666666667
79,44.693333333333335
80,45.17333333333333
81,45.664
82,46.176
83,46.67733333333333
84,47.157333333333334
85,47.70133333333333
86,48.192
87,48.714666666666666
88,49.216
89,49.717333333333336
90,50.218666666666664
91,50.72
92,51.21066666666667
93,51.70133333333333
94,52.21333333333333
95,52.714666666666666
96,53.216
97,53.717333333333336
98,54.218666666666664
99,54.72
100,55.21066666666667
101,55.72266666666667
102,56.21333333333333
103,56.714666666666666
